Mean episodic reward,Critic loss,Actor loss
10.555555555555555,0.006110894,-0.0025691777
11.666666666666666,0.0013631621,-0.039247587
9.727272727272727,0.02708877,-0.102718286
7.666666666666667,0.019296335,-0.106383435
9.666666666666666,0.0024308853,-0.021364564
6.142857142857143,0.00017267744,-0.0002647857
6.466666666666667,0.81108975,0.6285823
11.875,10.017232,-0.1165661
13.777777777777779,0.030400341,-0.08336862
14.428571428571429,0.0008073899,-0.00064439874
11.0,0.0076337527,0.05591126
11.666666666666666,1.441617,0.74732727
9.875,5.8342343e-05,-0.002442297
10.25,0.0012537278,-0.011894341
11.777777777777779,0.008459703,-0.017755609
9.88888888888889,0.00052555103,-0.029781856
6.818181818181818,0.0023923884,-0.001485547
10.5,0.017925806,-0.011514642
10.3,0.93556446,0.101181604
13.11111111111111,0.0015355427,-0.026844602
8.636363636363637,0.0012704816,-0.0015335386
6.769230769230769,0.0007551966,-0.016489608
6.133333333333334,0.002303071,-0.0072698193
9.272727272727273,0.0013469083,-0.0025391788
8.727272727272727,0.89833915,0.13061062
11.444444444444445,0.0028616565,-0.020323714
13.625,0.0010740395,-0.001421739
7.636363636363637,0.9318779,0.13896243
10.090909090909092,0.0016223523,-0.0004647543
9.333333333333334,0.0024209039,-0.04771224
11.88888888888889,0.018432673,0.014859094
9.0,0.0014367873,-0.09444243
13.0,0.0011071706,-0.0059718816
10.333333333333334,0.04043617,-0.12910827
13.428571428571429,0.0034645912,-0.0023826752
14.5,0.0044415756,-0.005243559
11.75,0.0006018346,-0.0054967757
10.875,0.004403744,0.007973663
12.0,0.0011757275,-0.0036288109
11.625,0.026201434,-0.0058228234
12.666666666666666,0.9058331,0.0022131253
13.142857142857142,0.012910544,-0.031551484
10.857142857142858,0.019032555,-0.0023018005
16.5,0.007316,-0.028058311
14.0,0.9308673,0.15194254
23.8,0.0002732303,-0.002025906
15.0,0.003679911,-0.0048515373
22.75,0.00081786327,-0.010218684
22.5,0.001768634,-0.014378335
22.4,0.09835816,-0.054029983
36.0,0.030925373,-0.031439066
35.0,0.0016527238,-0.0004701752
26.0,0.48334077,0.5697566
14.714285714285714,0.006236329,-0.003124144
11.625,0.0048065134,-0.060182996
12.142857142857142,0.002824181,-0.0028390575
12.5,0.0064554205,-0.0005963564
12.5,0.040729538,-0.07684941
13.857142857142858,0.020194132,-0.011414099
16.666666666666668,0.0076108556,-0.0061467807
13.666666666666666,0.00035148024,0.013943752
25.25,0.9795322,0.3696774
25.25,0.9106046,0.04986816
20.0,0.016316753,-0.08868634
25.5,0.006290974,-0.013812913
19.166666666666668,0.08882466,-0.0070115067
16.8,0.8982555,0.024297414
23.25,0.00020277157,-0.00023411801
27.0,0.0016285427,-0.0057533905
29.666666666666668,0.0117035415,-0.017832307
30.5,0.001898764,0.00869733
19.0,0.013892066,-0.07934584
28.0,0.06967432,-0.026217377
30.333333333333332,0.002277194,-0.017370714
31.0,0.05614165,0.020781625
32.666666666666664,0.028910078,-0.042562947
34.666666666666664,0.0063963262,-0.06960765
19.5,0.9309851,0.101233765
34.666666666666664,0.0020236766,-0.0013079518
23.6,0.0030370045,-0.08513557
18.4,0.004347442,-0.0014771848
19.6,0.041854274,0.22727413
32.666666666666664,0.0070230523,-0.0021244176
22.333333333333332,0.0030114637,-0.029977228
37.75,0.012423485,-0.0016674041
27.666666666666668,0.0013677432,-0.0036153588
36.0,0.0065038605,-0.0073739593
24.75,0.017021934,0.0056271977
24.2,0.0022979022,-0.0003417203
22.5,0.06480905,0.037347145
27.0,0.27810955,-0.3495717
22.75,0.10351059,-0.03449959
46.5,0.019990548,-0.015984297
40.0,0.0031233816,0.11360978
31.666666666666668,0.014080755,-0.00012381077
20.666666666666668,0.0030656622,-0.009457349
35.333333333333336,0.24106057,-0.055184916
38.5,0.004921075,-0.006091081
36.0,0.0010930315,0.0007737487
23.75,0.003046893,-0.023366652
32.5,0.028088054,-0.028000165
24.0,0.0029494038,-0.018903937
16.8,0.0018264925,-0.011211156
40.333333333333336,0.83416486,1.0486499
28.0,0.008453651,-0.022806995
35.333333333333336,0.009524267,-0.012102357
20.25,0.0017428596,-0.005937555
20.8,0.0023622573,-0.018671477
16.5,0.005173435,-0.00084039784
11.11111111111111,0.0032600625,-0.011705637
21.2,0.0006029816,-0.008175589
16.0,0.012445285,-0.00030050514
15.75,0.0030562177,-0.010310794
11.0,0.010659682,-0.072649464
11.5,0.00027847706,0.0022384566
12.875,0.0018066975,-0.057894126
11.714285714285714,0.003894874,-0.048597947
11.222222222222221,0.021563554,-0.005288751
17.333333333333332,0.0058490313,-0.054796595
15.0,0.0021842315,-0.0049838033
10.5,0.058687124,-0.101095915
16.166666666666668,0.0003495876,-0.004979975
15.714285714285714,0.00107529,-0.03950226
12.555555555555555,0.0012710936,-0.011451072
10.555555555555555,0.0008005148,-0.02113196
11.11111111111111,0.9552843,0.3323851
12.0,0.5177366,-1.4862232
10.0,0.020665351,-0.0014604545
9.222222222222221,0.005057956,-0.0227594
8.88888888888889,0.00095987064,-0.01819723
11.666666666666666,0.017514873,-0.004928825
8.615384615384615,0.002185569,-0.0049951137
7.583333333333333,0.012640419,-0.003235888
16.333333333333332,0.0077145393,-0.00022481567
14.5,0.0726818,-0.13801269
11.625,0.0012956061,-0.02539692
11.0,0.002652774,-0.012724013
9.0,0.004421831,-0.0006651403
12.857142857142858,7.320131e-06,0.00086047983
17.0,0.0010348359,-0.009686445
9.1,0.0009270928,-0.0003549557
11.666666666666666,0.020667408,-0.052776426
9.777777777777779,0.6362795,0.5050461
14.875,0.72691554,0.0058670663
12.5,0.0011804902,-0.015390043
12.75,0.0011431577,-0.0021176601
11.0,0.0035978763,-0.012363986
10.9,0.002729754,-0.0016843866
9.333333333333334,0.00073942414,-0.0008243337
10.1,0.0019584855,-0.01688298
9.363636363636363,0.015903993,-0.017390627
10.363636363636363,0.0048226267,-0.00223573
8.5,0.0011218318,-0.0025870868
11.857142857142858,0.0022993654,-0.016565517
14.375,0.003105446,-0.023006257
10.666666666666666,0.016224604,0.0067272442
14.0,0.24857724,-0.21475032
11.428571428571429,0.022384662,-0.010656538
15.25,0.015018505,-0.01203344
11.75,0.0015954226,-0.0042276913
15.428571428571429,0.9070126,0.059411038
14.857142857142858,0.0014449686,-0.018554542
11.1,0.0014230476,-0.024417106
13.875,0.91431683,0.081818655
10.25,0.0015202217,-0.004758128
13.625,0.003574233,-0.015352745
9.3,0.0015670568,-0.0002483541
9.25,0.24085599,-0.106617354
14.0,0.6513947,0.022748724
13.714285714285714,0.0019156734,-0.0071399924
12.428571428571429,0.002186996,-0.00758879
15.714285714285714,0.0030452614,-0.003427551
15.142857142857142,0.0053337286,0.021462232
12.142857142857142,0.0021507104,-0.014667789
9.555555555555555,0.003982074,-0.00666799
15.0,0.0020991007,-0.011288639
10.222222222222221,0.0018903376,-0.0024523467
11.857142857142858,0.0016083238,-0.0012751174
13.75,0.003972361,-0.0006655493
11.1,9.713575e-05,-0.0005554
15.333333333333334,0.9257778,0.09324977
13.875,0.0019327415,-0.02067655
16.714285714285715,0.0020947338,-0.0018534138
16.666666666666668,0.0037727049,-0.03351526
14.428571428571429,0.0013122564,-0.04212859
12.285714285714286,0.008420539,-0.02623727
11.444444444444445,0.9076094,0.06383963
14.125,0.07632691,-0.06949499
13.857142857142858,0.37828514,-0.19304688
14.571428571428571,0.0070064384,-0.07089352
11.428571428571429,0.0012029924,-0.00036314945
11.375,0.0044663656,-0.0014572326
10.090909090909092,0.0016403792,-0.0006992515
12.333333333333334,0.0066893655,-0.00028091003
11.222222222222221,0.004698954,-0.0020082109
11.0,0.0009772481,-0.012326186
11.2,0.0028381355,-0.0030528551
8.5,0.0012131853,-0.097431086
12.428571428571429,0.004594066,-0.0039420715
11.625,0.0004320102,3.333756e-05
12.428571428571429,3.7784477e-05,-0.0002496546
13.428571428571429,0.002175549,-0.011892742
14.25,9.9344334e-08,4.1689896e-06
17.166666666666668,0.002406777,-0.0017564172
15.0,0.0032784934,-0.0018129286
14.0,0.010347026,-0.009991904
12.285714285714286,0.0027100584,-0.00020611503
11.8,0.0018914987,-0.0052131442
11.88888888888889,0.004587475,-0.021239853
11.571428571428571,0.0044251294,-0.0023635258
17.333333333333332,0.06473477,-0.18032324
18.666666666666668,0.0021996803,-0.019124221
14.142857142857142,0.91251767,0.049093578
10.333333333333334,0.9200571,0.24392875
11.6,0.0020570185,-0.0075721047
17.0,0.0027755357,-0.0032061508
17.666666666666668,0.0020880608,0.00015480469
