Episodic reward,Step
22.0,24036
61.0,24096
68.0,24168
102.0,24270
47.0,24312
62.0,24378
26.0,24402
20.0,24420
20.0,24444
42.0,24486
30.0,24516
104.0,24618
15.0,24636
13.0,24648
43.0,24690
36.0,24726
72.0,24798
44.0,24840
50.0,24894
56.0,24948
16.0,24966
33.0,24996
18.0,25014
25.0,25038
33.0,25074
23.0,25098
150.0,25248
43.0,25290
22.0,25308
98.0,25410
22.0,25428
51.0,25482
54.0,25536
31.0,25566
13.0,25578
44.0,25626
12.0,25638
15.0,25650
24.0,25674
76.0,25752
62.0,25812
32.0,25842
26.0,25872
30.0,25902
26.0,25926
24.0,25950
71.0,26022
19.0,26040
61.0,26100
40.0,26142
60.0,26202
64.0,26268
78.0,26346
49.0,26394
74.0,26466
30.0,26496
90.0,26586
55.0,26640
38.0,26682
44.0,26724
37.0,26760
31.0,26790
40.0,26832
25.0,26856
27.0,26886
16.0,26898
37.0,26934
61.0,27000
68.0,27066
43.0,27108
31.0,27138
33.0,27174
40.0,27210
31.0,27246
71.0,27312
75.0,27390
15.0,27402
45.0,27450
28.0,27480
22.0,27498
25.0,27522
50.0,27576
18.0,27594
18.0,27612
37.0,27648
58.0,27708
41.0,27744
45.0,27792
42.0,27834
55.0,27888
20.0,27906
120.0,28026
22.0,28050
70.0,28122
78.0,28200
42.0,28242
19.0,28260
117.0,28374
121.0,28500
24.0,28524
21.0,28542
48.0,28590
29.0,28620
65.0,28686
29.0,28716
41.0,28752
36.0,28788
76.0,28866
25.0,28890
44.0,28938
126.0,29064
28.0,29088
76.0,29166
42.0,29208
25.0,29232
34.0,29268
109.0,29376
19.0,29394
39.0,29436
59.0,29490
79.0,29574
40.0,29610
58.0,29670
75.0,29742
14.0,29760
43.0,29802
41.0,29844
35.0,29880
83.0,29958
37.0,30000
28.0,30024
52.0,30078
102.0,30180
80.0,30258
32.0,30294
27.0,30318
71.0,30390
30.0,30420
67.0,30486
50.0,30534
51.0,30588
30.0,30618
44.0,30660
21.0,30684
123.0,30804
26.0,30834
33.0,30864
53.0,30918
80.0,30996
15.0,31014
47.0,31062
24.0,31086
27.0,31110
46.0,31158
30.0,31188
49.0,31236
47.0,31284
44.0,31326
36.0,31362
22.0,31386
109.0,31494
80.0,31572
68.0,31644
47.0,31686
72.0,31758
44.0,31806
58.0,31860
61.0,31926
25.0,31950
41.0,31992
56.0,32046
44.0,32088
35.0,32124
71.0,32196
50.0,32244
34.0,32280
29.0,32310
37.0,32346
26.0,32370
77.0,32448
38.0,32484
54.0,32538
23.0,32562
45.0,32610
23.0,32634
74.0,32706
32.0,32736
14.0,32754
14.0,32766
28.0,32796
23.0,32814
59.0,32874
77.0,32952
100.0,33054
24.0,33078
31.0,33108
87.0,33192
62.0,33258
22.0,33276
50.0,33330
55.0,33384
25.0,33408
47.0,33456
29.0,33486
48.0,33534
43.0,33576
58.0,33636
173.0,33804
84.0,33888
41.0,33930
67.0,33996
80.0,34080
44.0,34122
21.0,34146
32.0,34176
41.0,34218
41.0,34260
56.0,34314
85.0,34398
17.0,34416
55.0,34470
34.0,34506
43.0,34548
30.0,34578
32.0,34608
60.0,34668
39.0,34710
44.0,34752
80.0,34830
71.0,34902
41.0,34944
31.0,34974
47.0,35022
101.0,35124
31.0,35154
39.0,35196
43.0,35238
107.0,35346
38.0,35382
17.0,35400
44.0,35442
25.0,35466
33.0,35502
43.0,35544
80.0,35622
33.0,35658
78.0,35736
51.0,35784
15.0,35802
20.0,35820
13.0,35832
19.0,35850
33.0,35886
31.0,35916
67.0,35982
85.0,36066
29.0,36096
35.0,36132
54.0,36186
21.0,36210
45.0,36252
80.0,36330
23.0,36354
84.0,36438
42.0,36480
63.0,36546
57.0,36600
35.0,36636
49.0,36684
47.0,36732
33.0,36768
97.0,36864
54.0,36918
39.0,36954
28.0,36984
20.0,37002
36.0,37038
25.0,37062
33.0,37098
40.0,37140
48.0,37188
38.0,37224
39.0,37260
17.0,37278
97.0,37374
46.0,37422
23.0,37446
39.0,37482
22.0,37506
46.0,37554
54.0,37608
94.0,37698
127.0,37830
24.0,37854
44.0,37896
36.0,37932
90.0,38022
34.0,38058
28.0,38082
19.0,38100
27.0,38130
197.0,38328
40.0,38364
84.0,38448
77.0,38526
58.0,38586
29.0,38616
35.0,38652
25.0,38676
20.0,38694
115.0,38808
65.0,38874
20.0,38892
30.0,38922
85.0,39012
56.0,39066
37.0,39102
49.0,39150
40.0,39192
24.0,39216
48.0,39264
35.0,39300
58.0,39354
21.0,39378
70.0,39450
142.0,39588
37.0,39624
62.0,39690
24.0,39714
146.0,39858
54.0,39912
29.0,39942
20.0,39960
40.0,40002
12.0,40014
39.0,40050
66.0,40116
33.0,40152
45.0,40194
63.0,40260
131.0,40392
54.0,40446
34.0,40476
38.0,40518
17.0,40536
75.0,40608
17.0,40626
28.0,40656
121.0,40776
51.0,40824
35.0,40860
62.0,40920
27.0,40950
20.0,40968
50.0,41022
153.0,41172
28.0,41202
12.0,41214
57.0,41268
132.0,41400
30.0,41430
151.0,41580
45.0,41628
80.0,41706
46.0,41754
49.0,41802
66.0,41868
36.0,41904
62.0,41964
23.0,41988
19.0,42006
46.0,42054
40.0,42096
30.0,42126
43.0,42168
47.0,42216
58.0,42270
60.0,42330
140.0,42474
18.0,42492
58.0,42546
41.0,42588
95.0,42684
47.0,42732
32.0,42762
81.0,42846
47.0,42894
64.0,42954
27.0,42984
