V_Values_0,V_Values_20000,V_Values_40000,V_Values_60000,V_Values_80000,V_Values_100000,V_Values_120000,V_Values_140000,V_Values_160000,V_Values_180000,V_Values_200000,V_Values_220000,V_Values_240000,V_Values_260000,V_Values_280000,V_Values_300000,V_Values_320000,V_Values_340000,V_Values_360000,V_Values_380000,V_Values_400000,V_Values_420000,V_Values_440000,V_Values_460000,V_Values_480000,V_Values_500000
,49.519676,76.32395,80.33505,86.54254,87.28122,84.780945,69.55167,88.048996,83.39484,84.07456,81.41036,81.78885,85.170944,83.89244,86.131,84.67198,80.85116,84.58588,84.39632,84.626045,86.714264,85.07818,84.800606,69.17431,86.392555
,51.447895,75.50812,80.33582,86.542435,87.283485,84.78045,62.728325,88.04838,83.39484,84.07456,81.410355,81.78438,85.17079,83.85379,86.131035,84.67198,80.73013,84.58588,84.39632,84.626045,86.714355,85.077896,84.800606,70.40319,86.39256
,49.515404,75.85041,80.33268,86.54257,87.27556,84.78087,65.84961,88.048935,83.39484,84.07456,81.41037,81.790375,85.17108,83.78989,86.131004,84.67198,80.83006,84.58588,84.39632,84.626045,86.7142,85.07802,84.800606,69.38928,86.39255
,51.50782,75.13008,80.336586,86.54246,87.27806,84.780396,58.24588,88.048294,83.39484,84.07456,81.41036,81.786354,85.17094,83.76947,86.13105,84.67198,80.88405,84.58588,84.39632,84.626045,86.7143,85.07823,84.80061,68.30812,86.39256
,49.613335,75.42565,80.32878,86.542595,87.27014,84.780815,61.361366,88.04887,83.39484,84.07456,81.41037,81.7915,85.17117,83.68033,86.13101,84.67198,80.85705,84.58588,84.39632,84.626045,86.714165,85.0781,84.80061,68.81135,86.39257
,51.666195,74.823265,80.336784,86.54247,87.2728,84.78037,53.228638,88.0482,83.39484,84.07456,81.41036,81.78788,85.171036,83.67647,86.13105,84.67197,80.74617,84.58588,84.39631,84.626045,86.71425,85.0783,84.80061,69.9633,86.39257
,49.809216,75.06287,80.3222,86.5426,87.26485,84.7808,56.09465,88.0488,83.39484,84.074554,81.41038,81.79236,85.17126,83.56221,86.13102,84.67198,80.83844,84.58588,84.39632,84.626045,86.71412,85.07817,84.80061,68.928894,86.39257
,51.91866,74.581184,80.33612,86.54271,87.26754,84.78039,47.739876,88.0481,83.39484,84.074554,81.41037,81.78909,85.17113,83.57207,86.13106,84.67197,80.69559,84.58588,84.39632,84.626045,86.71419,85.07836,84.80061,70.14726,86.39257
,50.102184,74.76394,80.33081,86.54259,87.25946,84.78081,50.131836,88.04872,83.39484,84.07455,81.41038,81.79302,85.17132,83.4328,86.13102,84.67198,80.81303,84.58588,84.39632,84.626045,86.71408,85.07822,84.80061,69.10667,86.39257
,52.262432,74.39245,80.33622,86.54268,87.26207,84.78044,41.867622,88.048,83.39484,84.07455,81.41037,81.7901,85.171196,83.45192,86.13099,84.67198,80.87903,84.58588,84.39632,84.626045,86.71411,85.078415,84.80061,70.39429,86.39257
,50.493946,74.522766,80.32835,86.542564,87.25376,84.78084,43.6445,88.04863,83.39484,84.07455,81.410385,81.79356,85.171364,83.28754,86.13102,84.67198,80.8456,84.58588,84.39632,84.626045,86.71404,85.07827,84.80061,69.34934,86.39258
,52.695362,74.24461,80.33604,86.54265,87.25607,84.78052,47.356033,88.04788,83.39484,84.07454,81.41038,81.79095,85.171265,83.30893,86.130974,84.67198,80.71401,84.58588,84.39632,84.626045,86.714,85.07846,84.80061,68.23607,86.39257
,50.987736,74.32939,80.32563,86.54253,87.24737,84.779755,38.25055,88.04853,83.39484,84.07455,81.410385,81.793976,85.17142,83.11865,86.131004,84.67198,80.82259,84.58588,84.39632,84.626045,86.71398,85.07831,84.80061,68.78027,86.39257
,53.214733,74.12647,80.33566,86.5426,87.2504,84.78001,42.1717,88.04774,83.39484,84.07454,81.410385,81.79169,85.17133,83.130905,86.13096,84.67198,80.88195,84.58588,84.39632,84.626045,86.71384,85.07851,84.80061,69.99056,86.39257
,51.58687,74.173225,80.32269,86.54247,87.26428,84.7791,33.96836,88.04659,83.39484,84.07455,81.41039,81.79433,85.17147,82.91246,86.13099,84.67198,80.852036,84.58588,84.39632,84.626045,86.713905,85.078354,84.80061,68.92914,86.39257
,53.815823,74.02899,80.33514,86.54237,87.26581,84.77945,37.973335,88.047745,83.39484,84.07454,81.410385,81.79233,85.17139,82.89609,86.13096,84.67197,80.73137,84.58588,84.39632,84.626045,86.7139,85.07854,84.80061,70.20591,86.39257
,52.292637,74.045044,80.31953,86.54251,87.27762,84.77837,30.715992,88.04657,83.39484,84.07455,81.4104,81.79462,85.17152,82.64398,86.130974,84.67198,80.83173,84.58588,84.39632,84.626045,86.71414,85.07839,84.80061,69.1418,86.39257
,54.49012,73.94546,80.334496,86.542404,87.27806,84.77881,34.764442,88.04778,83.39484,84.07455,81.4104,81.792915,85.17144,82.56398,86.13094,84.67197,80.67728,84.58588,84.39632,84.626045,86.71408,85.07821,84.80061,68.011375,86.39257
,53.10144,73.93777,80.31613,86.54255,87.288345,84.77756,28.296913,88.04852,83.39484,84.07455,81.41041,81.79486,85.17156,82.26636,86.13097,84.67198,80.80401,84.58588,84.39632,84.626045,86.71431,85.07839,84.80061,68.55001,86.39258
,55.223648,73.871254,80.33375,86.542435,87.28801,84.77807,32.413795,88.04772,83.39484,84.07455,81.4104,81.79343,85.17155,81.91069,86.13102,84.67198,80.87651,84.58588,84.39632,84.626045,86.71423,85.07821,84.80061,69.759766,86.39257
